Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Buteo platypterus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-asa-larga,Broad-winged Hawk,,
Buteo brachyurus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-cauda-curta,Short-tailed Hawk,,
Buteo swainsoni,Accipitriformes,Hydrobatinae,Accipitridae,gavião-papa-gafanhoto,Swainson's Hawk,,
Buteo albonotatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-urubu,Zone-tailed Hawk,,
Morphnus guianensis,Accipitriformes,Hydrobatinae,Accipitridae,uiraçu,Crested Eagle,NT,
Harpia harpyja,Accipitriformes,Hydrobatinae,Accipitridae,gavião-real,Harpy Eagle,NT,
Spizaetus tyrannus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-pega-macaco,Black Hawk-Eagle,,
Spizaetus melanoleucus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-pato,Black-and-white Hawk-Eagle,,
Spizaetus ornatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-de-penacho,Ornate Hawk-Eagle,NT,
Eurypyga helias,Eurypygiformes,Hydrobatinae,Eurypygidae,pavãozinho-do-pará,Sunbittern,,
Aramus guarauna,Gruiformes,Hydrobatinae,Aramidae,carão,Limpkin,,
Psophia napensis,Gruiformes,Hydrobatinae,Psophiidae,jacamim-do-napo,Napo Trumpeter,,
Psophia crepitans,Gruiformes,Hydrobatinae,Psophiidae,jacamim-de-costas-cinzentas,Gray-winged Trumpeter,NT,
Psophia ochroptera,Gruiformes,Hydrobatinae,Psophiidae,jacamim-de-costas-amarelas,Yellow-winged Trumpeter,,
Psophia leucoptera,Gruiformes,Hydrobatinae,Psophiidae,jacamim-de-costas-brancas,Pale-winged Trumpeter,NT,
Psophia viridis,Gruiformes,Hydrobatinae,Psophiidae,jacamim-de-costas-verdes,Green-winged Trumpeter,VU,
Psophia dextralis,Gruiformes,Hydrobatinae,Psophiidae,jacamim-de-costas-marrons,Brown-winged Trumpeter,EN,
Psophia interjecta,Gruiformes,Hydrobatinae,Psophiidae,jacamim-do-xingu,Xingu Trumpeter,,
Psophia obscura,Gruiformes,Hydrobatinae,Psophiidae,jacamim-de-costas-escuras,Dark-winged Trumpeter,CR,
Coturnicops notatus,Gruiformes,Hydrobatinae,Rallidae,pinto-d'água-carijó,Speckled Rail,,
