Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Sciaphylax pallens,Passeriformes,Thamnophilinae,Thamnophilidae,formigueiro-de-cauda-baia,Eastern White-bellied Antbird,,
Cercomacra manu,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-de-manu,Manu Antbird,,
Cercomacra brasiliana,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-cinzento,Rio de Janeiro Antbird,NT,
Cercomacra cinerascens,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-pocuá,Gray Antbird,,
Cercomacra melanaria,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-do-pantanal,Mato Grosso Antbird,,
Cercomacra ferdinandi,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-de-goiás,Bananal Antbird,VU,
Cercomacra carbonaria,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-do-rio-branco,Rio Branco Antbird,CR,
Cercomacroides nigrescens,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-negro,Blackish Antbird,,
Cercomacroides fuscicauda,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-negro-do-acre,Riparian Antbird,,
Cercomacroides laeta,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-didi,Willis's Antbird,,
Cercomacroides tyrannina,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-escuro,Dusky Antbird,,
Cercomacroides serva,Passeriformes,Thamnophilinae,Thamnophilidae,chororó-preto,Black Antbird,,
Drymophila ferruginea,Passeriformes,Thamnophilinae,Thamnophilidae,trovoada,Ferruginous Antbird,,
Drymophila rubricollis,Passeriformes,Thamnophilinae,Thamnophilidae,trovoada-de-bertoni,Bertoni's Antbird,,
Drymophila genei,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-da-serra,Rufous-tailed Antbird,,
Drymophila ochropyga,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-de-dorso-vermelho,Ochre-rumped Antbird,NT,
Drymophila malura,Passeriformes,Thamnophilinae,Thamnophilidae,choquinha-carijó,Dusky-tailed Antbird,,
Drymophila squamata,Passeriformes,Thamnophilinae,Thamnophilidae,pintadinho,Scaled Antbird,,
Drymophila devillei,Passeriformes,Thamnophilinae,Thamnophilidae,trovoada-listrada,Striated Antbird,,
Hypocnemis hypoxantha,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-amarelo,Yellow-browed Antbird,,
Hypocnemis subflava,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-galego,Yellow-breasted Warbling-Antbird,,
Hypocnemis cantator,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-da-guiana,Guianan Warbling-Antbird,NT,
Hypocnemis flavescens,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-sulfúreo,Imeri Warbling-Antbird,,
Hypocnemis peruviana,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-sinaleiro,Peruvian Warbling-Antbird,,
Hypocnemis ochrogyna,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-ocráceo,Rondonia Warbling-Antbird,VU,
Hypocnemis rondoni,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-de-rondon,Manicore Warbling-Antbird,,
Hypocnemis striata,Passeriformes,Thamnophilinae,Thamnophilidae,cantador-estriado,Spix's Warbling-Antbird,,
Pithys albifrons,Passeriformes,Thamnophilinae,Thamnophilidae,papa-formiga-de-topete,White-plumed Antbird,,
Willisornis poecilinotus,Passeriformes,Thamnophilinae,Thamnophilidae,rendadinho,Common Scale-backed Antbird,,
Willisornis vidua,Passeriformes,Thamnophilinae,Thamnophilidae,rendadinho-do-xingu,Xingu Scale-backed Antbird,,
Phlegopsis nigromaculata,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca,Black-spotted Bare-eye,,
Phlegopsis borbae,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-dourada,Pale-faced Bare-eye,,
Phlegopsis erythroptera,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-avermelhada,Reddish-winged Bare-eye,,
Gymnopithys leucaspis,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-bochechuda,White-cheeked Antbird,,
Gymnopithys rufigula,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-de-garganta-vermelha,Rufous-throated Antbird,,
Oneillornis salvini,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-de-cauda-barrada,White-throated Antbird,,
Rhegmatorhina gymnops,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-de-cara-branca,Bare-eyed Antbird,VU,
Rhegmatorhina berlepschi,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-arlequim,Harlequin Antbird,,
Rhegmatorhina hoffmannsi,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-papuda,White-breasted Antbird,NT,
Rhegmatorhina cristata,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-cristada,Chestnut-crested Antbird,,
Rhegmatorhina melanosticta,Passeriformes,Thamnophilinae,Thamnophilidae,mãe-de-taoca-cabeçuda,Hairy-crested Antbird,,
Melanopareia torquata,Passeriformes,Thamnophilinae,Melanopareiidae,tapaculo-de-colarinho,Collared Crescentchest,,
Conopophaga cearae,Passeriformes,Thamnophilinae,Conopophagidae,chupa-dente-do-nordeste,Ceara Gnateater,,
Conopophaga lineata,Passeriformes,Thamnophilinae,Conopophagidae,chupa-dente,Rufous Gnateater,,
Conopophaga aurita,Passeriformes,Thamnophilinae,Conopophagidae,chupa-dente-de-cinta,Chestnut-belted Gnateater,,
Conopophaga roberti,Passeriformes,Thamnophilinae,Conopophagidae,chupa-dente-de-capuz,Hooded Gnateater,,
Conopophaga melanogaster,Passeriformes,Thamnophilinae,Conopophagidae,chupa-dente-grande,Black-bellied Gnateater,,
Conopophaga peruviana,Passeriformes,Thamnophilinae,Conopophagidae,chupa-dente-do-peru,Ash-throated Gnateater,,
Conopophaga melanops,Passeriformes,Thamnophilinae,Conopophagidae,cuspidor-de-máscara-preta,Black-cheeked Gnateater,,
Grallaria varia,Passeriformes,Thamnophilinae,Grallariidae,tovacuçu,Variegated Antpitta,,
Grallaria eludens,Passeriformes,Thamnophilinae,Grallariidae,tovacuçu-xodó,Elusive Antpitta,,
Hylopezus macularius,Passeriformes,Thamnophilinae,Grallariidae,torom-carijó,Spotted Antpitta,,
Hylopezus dilutus,Passeriformes,Thamnophilinae,Grallariidae,torom-do-imeri,Zimmer's Antpitta,,
Hylopezus whittakeri,Passeriformes,Thamnophilinae,Grallariidae,torom-de-alta-floresta,Alta Floresta Antpitta,,
Hylopezus paraensis,Passeriformes,Thamnophilinae,Grallariidae,torom-do-pará,Snethlage's Antpitta,,
Hylopezus berlepschi,Passeriformes,Thamnophilinae,Grallariidae,torom-torom,Amazonian Antpitta,,
Hylopezus ochroleucus,Passeriformes,Thamnophilinae,Grallariidae,pompeu,White-browed Antpitta,NT,
Hylopezus nattereri,Passeriformes,Thamnophilinae,Grallariidae,pinto-do-mato,Speckle-breasted Antpitta,,
Myrmothera campanisona,Passeriformes,Thamnophilinae,Grallariidae,tovaca-patinho,Thrush-like Antpitta,,
Myrmothera simplex,Passeriformes,Thamnophilinae,Grallariidae,torom-de-peito-pardo,Tepui Antpitta,,
Merulaxis ater,Passeriformes,Scytalopodinae,Rhinocryptidae,entufado,Slaty Bristlefront,NT,
Merulaxis stresemanni,Passeriformes,Scytalopodinae,Rhinocryptidae,entufado-baiano,Stresemann's Bristlefront,CR,
Eleoscytalopus indigoticus,Passeriformes,Scytalopodinae,Rhinocryptidae,macuquinho,White-breasted Tapaculo,NT,
Eleoscytalopus psychopompus,Passeriformes,Scytalopodinae,Rhinocryptidae,macuquinho-baiano,Bahia Tapaculo,EN,
Scytalopus gonzagai,Passeriformes,Scytalopodinae,Rhinocryptidae,tapaculo-preto-baiano,Boa Nova Tapaculo,EN,
Scytalopus speluncae,Passeriformes,Scytalopodinae,Rhinocryptidae,tapaculo-preto,Mouse-colored Tapaculo,,
Scytalopus diamantinensis,Passeriformes,Scytalopodinae,Rhinocryptidae,tapaculo-da-chapada-diamantina,Diamantina Tapaculo,EN,
Scytalopus petrophilus,Passeriformes,Scytalopodinae,Rhinocryptidae,tapaculo-serrano,Rock Tapaculo,,
Scytalopus pachecoi,Passeriformes,Scytalopodinae,Rhinocryptidae,tapaculo-ferreirinho,Planalto Tapaculo,,
Scytalopus novacapitalis,Passeriformes,Scytalopodinae,Rhinocryptidae,tapaculo-de-brasília,Brasilia Tapaculo,EN,
Scytalopus iraiensis,Passeriformes,Scytalopodinae,Rhinocryptidae,macuquinho-da-várzea,Marsh Tapaculo,EN,
Psilorhamphus guttatus,Passeriformes,Rhinocryptinae,Rhinocryptidae,tapaculo-pintado,Spotted Bamboowren,NT,
Liosceles thoracicus,Passeriformes,Rhinocryptinae,Rhinocryptidae,corneteiro-da-mata,Rusty-belted Tapaculo,,
Formicarius colma,Passeriformes,Rhinocryptinae,Formicariidae,galinha-do-mato,Rufous-capped Antthrush,,
Formicarius analis,Passeriformes,Rhinocryptinae,Formicariidae,pinto-do-mato-de-cara-preta,Black-faced Antthrush,,
Formicarius rufifrons,Passeriformes,Rhinocryptinae,Formicariidae,pinto-do-mato-de-fronte-ruiva,Rufous-fronted Antthrush,NT,
Chamaeza campanisona,Passeriformes,Rhinocryptinae,Formicariidae,tovaca-campainha,Short-tailed Antthrush,,
Chamaeza nobilis,Passeriformes,Rhinocryptinae,Formicariidae,tovaca-estriada,Striated Antthrush,,
Chamaeza meruloides,Passeriformes,Rhinocryptinae,Formicariidae,tovaca-cantadora,Such's Antthrush,,
Chamaeza ruficauda,Passeriformes,Rhinocryptinae,Formicariidae,tovaca-de-rabo-vermelho,Rufous-tailed Antthrush,,
Sclerurus macconnelli,Passeriformes,Rhinocryptinae,Scleruridae,vira-folha-de-peito-vermelho,Tawny-throated Leaftosser,,
Sclerurus rufigularis,Passeriformes,Rhinocryptinae,Scleruridae,vira-folha-de-bico-curto,Short-billed Leaftosser,,
Sclerurus caudacutus,Passeriformes,Rhinocryptinae,Scleruridae,vira-folha-pardo,Black-tailed Leaftosser,,
Sclerurus albigularis,Passeriformes,Rhinocryptinae,Scleruridae,vira-folha-de-garganta-cinza,Gray-throated Leaftosser,NT,
Sclerurus cearensis,Passeriformes,Rhinocryptinae,Scleruridae,vira-folha-cearense,Ceara Leaftosser,VU,
Sclerurus scansor,Passeriformes,Rhinocryptinae,Scleruridae,vira-folha,Rufous-breasted Leaftosser,,
Geositta poeciloptera,Passeriformes,Rhinocryptinae,Scleruridae,andarilho,Campo Miner,VU,
Geositta cunicularia,Passeriformes,Rhinocryptinae,Scleruridae,curriqueiro,Common Miner,,
Dendrocincla fuliginosa,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-pardo,Plain-brown Woodcreeper,,
Dendrocincla taunayi,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-pardo-do-nordeste,Pernambuco Woodcreeper,,
Dendrocincla turdina,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-liso,Plain-winged Woodcreeper,,
Dendrocincla merula,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-da-taoca,White-chinned Woodcreeper,,
Deconychura longicauda,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-rabudo,Long-tailed Woodcreeper,,
Sittasomus griseicapillus,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-verde,Olivaceous Woodcreeper,,
Certhiasomus stictolaemus,Passeriformes,Sittasominae,Dendrocolaptidae,arapaçu-de-garganta-pintada,Spot-throated Woodcreeper,,
Glyphorynchus spirurus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-bico-de-cunha,Wedge-billed Woodcreeper,,
Xiphorhynchus atlanticus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-rajado-do-nordeste,Northern Lesser Woodcreeper,,
Xiphorhynchus fuscus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-rajado,Lesser Woodcreeper,,
Xiphorhynchus pardalotus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-assobiador,Chestnut-rumped Woodcreeper,,
Xiphorhynchus chunchotambo,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-tschudi,Tschudi's Woodcreeper,,
Xiphorhynchus beauperthuysii,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-ocelado-do-norte,Northern Ocellated Woodcreeper,,
Xiphorhynchus ocellatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-ocelado,Ocellated Woodcreeper,,
Xiphorhynchus elegans,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-elegante,Elegant Woodcreeper,,
Xiphorhynchus spixii,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-spix,Spix's Woodcreeper,,
Xiphorhynchus obsoletus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-riscado,Striped Woodcreeper,,
Xiphorhynchus guttatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-garganta-amarela,Buff-throated Woodcreeper,,
Xiphorhynchus guttatoides,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-lafresnaye,Lafresnaye's Woodcreeper,,
Campylorhamphus falcularius,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-torto,Black-billed Scythebill,,
Campylorhamphus multostriatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-curvo-do-xingu,Snethlage's Scythebill,,
Campylorhamphus trochilirostris,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-beija-flor,Red-billed Scythebill,,
Campylorhamphus probatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-curvo-de-rondônia,Rondonia Scythebill,,
Campylorhamphus cardosoi,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-tapajós,Tapajós Scythebill,,
Campylorhamphus procurvoides,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-curvo,Curve-billed Scythebill,,
Campylorhamphus sanus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-curvo-do-napo,Zimmer's Scythebill,,
Campylorhamphus gyldenstolpei,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-tupana,Tupana Scythebill,,
Drymornis bridgesii,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-platino,Scimitar-billed Woodcreeper,,
Dendroplex picus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-branco,Straight-billed Woodcreeper,,
Dendroplex kienerii,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-ferrugem,Zimmer's Woodcreeper,NT,
Lepidocolaptes souleyetii,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-listrado,Streak-headed Woodcreeper,,
Lepidocolaptes angustirostris,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-cerrado,Narrow-billed Woodcreeper,,
Lepidocolaptes wagleri,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-wagler,Wagler’s Woodcreeper,,
Lepidocolaptes squamatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-escamoso,Scaled Woodcreeper,,
Lepidocolaptes falcinellus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-escamoso-do-sul,Scalloped Woodcreeper,,
Lepidocolaptes albolineatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-listras-brancas,Guianan Woodcreeper,,
Lepidocolaptes duidae,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-duida,Duida Woodcreeper,,
Lepidocolaptes fatimalimae,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-do-inambari,Inambari Woodcreeper,,
Lepidocolaptes fuscicapillus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-rondônia,Rondonia Woodcreeper,,
Lepidocolaptes layardi,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-listras-brancas-do-leste,Layard's Woodcreeper,,
Nasica longirostris,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-de-bico-comprido,Long-billed Woodcreeper,,
Dendrexetastes rufigula,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-galinha,Cinnamon-throated Woodcreeper,,
Dendrocolaptes certhia,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-barrado,Amazonian Barred Woodcreeper,,
Dendrocolaptes radiolatus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-barrado-do-napo,Napo Woodcreeper,,
Dendrocolaptes juruanus,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-barrado-do-juruá,Juruá Woodcreeper,,
Dendrocolaptes concolor,Passeriformes,Dendrocolaptinae,Dendrocolaptidae,arapaçu-concolor,Plain-colored Woodcreeper,,
