Carpornis cucullata,Passeriformes,Rupicolinae,Cotingidae,corocoxó,Hooded Berryeater,NT,
Carpornis melanocephala,Passeriformes,Rupicolinae,Cotingidae,sabiá-pimenta,Black-headed Berryeater,VU,
Rupicola rupicola,Passeriformes,Rupicolinae,Cotingidae,galo-da-serra,Guianan Cock-of-the-rock,,
Phoenicircus carnifex,Passeriformes,Rupicolinae,Cotingidae,saurá,Guianan Red-Cotinga,,
Phoenicircus nigricollis,Passeriformes,Rupicolinae,Cotingidae,saurá-de-pescoço-preto,Black-necked Red-Cotinga,,
Phytotoma rutila,Passeriformes,Phytotominae,Cotingidae,corta-ramos,White-tipped Plantcutter,,
Phibalura flavirostris,Passeriformes,Phytotominae,Cotingidae,tesourinha-da-mata,Swallow-tailed Cotinga,NT,
Haematoderus militaris,Passeriformes,Cephalopterinae,Cotingidae,anambé-militar,Crimson Fruitcrow,,
Querula purpurata,Passeriformes,Cephalopterinae,Cotingidae,anambé-una,Purple-throated Fruitcrow,,
Pyroderus scutatus,Passeriformes,Cephalopterinae,Cotingidae,pavó,Red-ruffed Fruitcrow,,
Perissocephalus tricolor,Passeriformes,Cephalopterinae,Cotingidae,maú,Capuchinbird,,
Cephalopterus ornatus,Passeriformes,Cephalopterinae,Cotingidae,anambé-preto,Amazonian Umbrellabird,,
Lipaugus ater,Passeriformes,Cotinginae,Cotingidae,saudade,Black-and-gold Cotinga,NT,
Lipaugus conditus,Passeriformes,Cotinginae,Cotingidae,saudade-de-asa-cinza,Gray-winged Cotinga,VU,
Lipaugus lanioides,Passeriformes,Cotinginae,Cotingidae,tropeiro-da-serra,Cinnamon-vented Piha,NT,
Lipaugus streptophorus,Passeriformes,Cotinginae,Cotingidae,cricrió-de-cinta-vermelha,Rose-collared Piha,,
Lipaugus vociferans,Passeriformes,Cotinginae,Cotingidae,cricrió,Screaming Piha,,
Procnias albus,Passeriformes,Cotinginae,Cotingidae,araponga-da-amazônia,White Bellbird,,
Procnias averano,Passeriformes,Cotinginae,Cotingidae,araponga-do-nordeste,Bearded Bellbird,,
Procnias nudicollis,Passeriformes,Cotinginae,Cotingidae,araponga,Bare-throated Bellbird,VU,
Cotinga maynana,Passeriformes,Cotinginae,Cotingidae,cotinga-azul,Plum-throated Cotinga,,
Cotinga cayana,Passeriformes,Cotinginae,Cotingidae,anambé-azul,Spangled Cotinga,,
Cotinga cotinga,Passeriformes,Cotinginae,Cotingidae,anambé-de-peito-roxo,Purple-breasted Cotinga,,
Cotinga maculata,Passeriformes,Cotinginae,Cotingidae,crejoá,Banded Cotinga,EN,
Porphyrolaema porphyrolaema,Passeriformes,Cotinginae,Cotingidae,cotinga-de-garganta-encarnada,Purple-throated Cotinga,,
Gymnoderus foetidus,Passeriformes,Cotinginae,Cotingidae,anambé-pombo,Bare-necked Fruitcrow,,
Conioptilon mcilhennyi,Passeriformes,Cotinginae,Cotingidae,anambé-de-cara-preta,Black-faced Cotinga,,
